lr,hidden,ts_lookback,dropout,seed,val_ap,test_ap,val_mse,test_mse,test_f1,epochs_run,sec,error
0.01,256,6,0.0,42,0.9148726586539123,0.9219657236499782,0.09244446673229013,0.08274129920595807,0.8593705813436755,10,53.1,
0.01,256,6,0.1,42,0.9137060502434702,0.9198671379184712,0.09318505834396852,0.08581689190907023,0.8554666666666668,8,34.7,
0.01,256,6,0.3,42,0.9116757286525434,0.9164875081218743,0.09311199554853465,0.0850233375801425,0.8566666666666666,8,37.2,
0.01,256,12,0.0,42,0.9142032952639619,0.9203820696588434,0.09277344096134284,0.08461485827211114,0.8565508836075565,8,55.4,
0.01,256,12,0.1,42,0.9138207041421913,0.9195314597240085,0.09505121482747064,0.08560044901476689,0.8574079302972853,7,40.0,
0.01,256,12,0.3,42,0.9131303232971325,0.9204841771507216,0.09451581361849218,0.08494698246065935,0.8590000802503813,13,69.1,
0.01,256,24,0.0,42,0.9129962894082635,0.9213939922374743,0.0944116673383296,0.0846618164430459,0.8580428900286743,7,68.8,
0.01,256,24,0.1,42,0.914745890199282,0.9214004852892984,0.09266393779285559,0.08415771862502014,0.8581471455698759,10,86.7,
0.01,256,24,0.3,42,0.9139524383053612,0.9213471288873647,0.09335495861771348,0.08400144827975406,0.8593450479233227,13,113.0,
0.01,256,48,0.0,42,0.9130728596600803,0.9216950528724939,0.09477612945014825,0.08527652739359905,0.8581747352189263,7,113.0,
0.01,256,48,0.1,42,0.9145102550243733,0.922430219425245,0.09278975165060961,0.08350098164978863,0.8572714993246285,11,167.8,
0.01,256,48,0.3,42,0.9139211094736934,0.9212042258925996,0.09320929127923792,0.08452938033971835,0.8597058348149345,11,167.2,
0.01,384,6,0.0,42,0.9146462800570748,0.9221130287429266,0.09308938353622856,0.08434254831651557,0.8588315163132463,10,60.5,
0.01,384,6,0.1,42,0.9147480008552515,0.9195141917395931,0.09385864197505055,0.0848757566987468,0.8555347091932457,20,96.2,
0.01,384,6,0.3,42,0.9119183314172913,0.9192495714320064,0.09604016222613607,0.08639402792211767,0.8572460279248916,7,37.9,
0.01,384,12,0.0,42,0.9146427872974786,0.9209658266759364,0.09295184620917513,0.0845005102142421,0.8571775073776124,10,78.1,
0.01,384,12,0.1,42,0.9145300848691469,0.9218825534782975,0.09313689820412203,0.08400589130099376,0.8573062625107234,11,77.6,
0.01,384,12,0.3,42,0.912302704060216,0.9200163366721932,0.09268424615305963,0.08402097915829294,0.858114674441205,10,71.7,
0.01,384,24,0.0,42,0.9138152792498632,0.9211162471525086,0.09277355095537303,0.0838584535071521,0.8582335025380711,11,134.9,
0.01,384,24,0.1,42,0.9149626565279703,0.9221479009702265,0.09396266783954278,0.08542164401455932,0.8569557565587526,8,101.0,
0.01,384,24,0.3,42,0.9118169821039834,0.9189238625138173,0.09413321538398606,0.08459244961138633,0.8572463768115941,6,77.2,
0.01,384,48,0.0,42,0.9141097387920469,0.9204962667185935,0.09397090093648698,0.08686415628311614,0.8551480553616164,8,172.0,
0.01,384,48,0.1,42,0.914465796451968,0.9213219002495671,0.09259484015654736,0.08440752400723785,0.8591719796626585,10,218.6,
0.01,384,48,0.3,42,0.9137071474793208,0.9219960568582167,0.09304221266070577,0.0839575799075804,0.8574432806244187,11,241.8,
