lr,hidden,ts_lookback,fusion_hidden,seed,val_ap,test_ap,val_mse,test_mse,test_f1,epochs_run,sec,error
0.01,256,48,128,42,0.9134871144340069,0.9195997342254891,0.09313769494104346,0.08470460508371881,0.8584846587351282,5,75.1,
0.01,256,48,256,42,0.9140662588477513,0.9205699257455435,0.09265509466859659,0.08486256021468024,0.8596256684491979,10,120.3,
0.01,384,6,128,42,0.9134040960906324,0.9192227836255761,0.0942001628586966,0.0854646810589239,0.8580773833266854,6,45.9,
0.01,384,6,256,42,0.9152233264144779,0.9213839398933542,0.09203286866755746,0.08391225441496429,0.8599458462504416,10,50.6,
0.01,384,12,128,42,0.9143892998029645,0.9194237584374074,0.09406173889746833,0.08495755885658357,0.8586178575618914,5,54.4,
0.01,384,12,256,42,0.9140881301419554,0.9202096243898028,0.0932489007552623,0.08571083008591045,0.8504952967618414,8,58.7,
0.01,384,24,128,42,0.9144465697481916,0.9211012101755112,0.09367387737849746,0.08540853479042938,0.8592878076197359,18,198.5,
0.01,384,24,256,42,0.9125207630757337,0.9153308619140607,0.09760499986634345,0.08903160376030024,0.8566544760693274,6,69.7,
0.01,384,48,128,42,0.9098045872095432,0.910734030044379,0.09872892848880833,0.09463396557089249,0.8520631963044913,4,93.5,
0.01,384,48,256,42,0.9125552458838103,0.9166498977719745,0.28108867990236336,0.26141070766187713,0.8572110412854983,12,216.4,
