row,idx,station_id,name,cap_z,lat_z,lon_z
185,184,JC013,Marin Light Rail,-0.6667,-0.8258,-1.0025
186,185,JC014,Columbus Drive,-1.1648,-0.6828,-0.8883
187,186,JC018,5 Corners Library,-0.9987,-0.0528,-1.4910
188,187,JC019,Hilltop,-0.6667,-0.1966,-1.4345
189,188,JC020,Baldwin at Montgomery,-1.1648,-0.4816,-1.6284
190,189,JC022,Oakland Ave,-0.6667,0.0475,-1.2854
191,190,JC023,Brunswick St,-0.8327,-0.4619,-1.2320
192,191,JC024,Pershing Field,-0.9987,0.2400,-1.2652
193,192,JC027,Jersey & 6th St,-1.1648,-0.4197,-1.0832
194,193,JC032,Newark Ave,-0.8327,-0.5625,-1.1046
195,194,JC034,Christ Hospital,-0.8327,-0.0594,-1.2258
196,195,JC035,Van Vorst Park,-0.8327,-0.6777,-1.1463
197,196,JC038,Essex Light Rail,-0.8327,-0.8945,-0.8171
198,197,JC051,Union St,-0.9987,-0.6882,-2.1977
199,198,JC052,Liberty Light Rail,-0.8327,-0.9526,-1.3797
200,199,JC053,Lincoln Park,-0.9987,-0.4457,-2.0445
201,200,JC055,McGinley Square,-0.8327,-0.4178,-1.7287
202,201,JC057,Riverview Park,-0.9987,0.3023,-1.0369
203,202,JC059,Heights Elevator,-0.9987,0.4691,-0.9330
204,203,JC063,Jackson Square,-0.9987,-0.9569,-2.0589
205,204,JC065,Dey St,-0.9987,0.0516,-1.7082
206,205,JC066,Newport PATH,-0.9987,-0.3463,-0.7373
207,206,JC072,Morris Canal,-1.1648,-0.9080,-0.8769
208,207,JC074,Jersey & 3rd,-1.1648,-0.4940,-1.0943
209,208,JC075,Monmouth and 6th,-1.1648,-0.4047,-1.1774
210,209,JC076,Dixon Mills,-0.9987,-0.5585,-1.2119
211,210,JC077,Astor Place,-1.1648,-0.6476,-1.8353
212,211,JC078,Lafayette Park,-1.1648,-0.8683,-1.5893
213,212,JC080,Leonard Gordon Park,-1.1648,0.3626,-1.4257
214,213,JC081,Brunswick & 6th,-1.1648,-0.3923,-1.2242
